model,fold,accuracy,precision,recall,f1,roc_auc
Logistic_Regression,0,0.85875,0.8779631255487269,0.8333333333333334,0.8550662676357418,0.9250645833333333
Logistic_Regression,1,0.8270833333333333,0.874880611270296,0.7633333333333333,0.8153093012906097,0.9110131944444445
Logistic_Regression,2,0.8466666666666667,0.8788706739526412,0.8041666666666667,0.8398607484769365,0.9134979166666667
Logistic_Regression,3,0.8283333333333334,0.8456140350877193,0.8033333333333333,0.8239316239316239,0.9117638888888889
Logistic_Regression,4,0.8325,0.8556149732620321,0.8,0.8268733850129198,0.9146513888888888
Decision_Tree,0,1.0,1.0,1.0,1.0,1.0
Decision_Tree,1,1.0,1.0,1.0,1.0,1.0
Decision_Tree,2,1.0,1.0,1.0,1.0,1.0
Decision_Tree,3,1.0,1.0,1.0,1.0,1.0
Decision_Tree,4,1.0,1.0,1.0,1.0,1.0
Random_Forest,0,1.0,1.0,1.0,1.0,1.0
Random_Forest,1,1.0,1.0,1.0,1.0,1.0
Random_Forest,2,1.0,1.0,1.0,1.0,1.0
Random_Forest,3,1.0,1.0,1.0,1.0,1.0
Random_Forest,4,1.0,1.0,1.0,1.0,1.0
XGBoost,0,1.0,1.0,1.0,1.0,1.0
XGBoost,1,1.0,1.0,1.0,1.0,1.0
XGBoost,2,1.0,1.0,1.0,1.0,1.0
XGBoost,3,1.0,1.0,1.0,1.0,1.0
XGBoost,4,1.0,1.0,1.0,1.0,1.0
